freq	word1	word2	word3	word4	word5
139	made	it	clear	that	she
139	make	me	feel	like	a
139	may	be	able	to	find
139	may	have	been	due	to
139	me	know	if	you	have
139	more	than	three	times	as
138	make	sure	that	they	do
138	man	in	the	white	house
138	many	people	are	going	to
138	may	be	the	key	to
138	more	likely	to	vote	for
137	make	a	dent	in	the
137	makes	it	more	difficult	to
137	many	of	them	do	n't
137	many	of	them	have	been
137	many	other	parts	of	the
137	matter	how	hard	i	try
137	may	have	been	one	of
137	more	than	a	few	years
137	more	than	doubled	in	the
137	most	of	his	adult	life
137	my	sister	and	i	were
136	made	its	way	to	the
136	make	sure	i	did	n't
136	may	very	well	be	the
136	men	and	women	who	were
136	more	than	a	decade	after
136	more	than	half	an	hour
136	move	in	and	out	of
136	much	as	the	next	guy
135	members	of	the	opposite	sex
135	much	as	i	want	to
135	must	be	some	sort	of
134	make	sure	you	get	a
134	may	have	been	able	to
134	may	increase	the	risk	of
134	me	get	that	for	you
134	more	difficult	for	them	to
134	more	than	half	of	its
134	my	own	view	is	that
133	make	as	much	money	as
133	make	it	up	to	me
133	make	up	the	bulk	of
133	makes	a	lot	more	sense
133	many	of	us	do	n't
133	may	be	able	to	use
133	most	people	do	n't	want
133	moving	in	the	direction	of
133	my	point	is	that	the
132	made	him	look	like	a
132	make	a	huge	difference	in
132	make	a	whole	lot	of
132	may	have	been	the	most
132	me	like	i	was	a
132	me	when	i	was	in
132	means	the	world	to	me
132	more	than	make	up	for
132	more	than	two	years	after
132	mount	sinai	school	of	medicine
131	make	it	very	clear	that
131	make	the	most	out	of
131	marked	the	end	of	the
131	may	be	a	little	bit
131	may	be	less	likely	to
131	me	now	to	talk	about
131	more	than	any	of	the
131	most	of	the	time	in
131	my	neck	of	the	woods
130	make	it	easy	for	you
130	may	be	able	to	do
130	me	that	i	ca	n't
130	million	at	the	box	office
130	more	than	a	century	of
130	more	than	a	thousand	years
130	museum	of	science	and	industry
130	my	understanding	is	that	the
129	made	it	more	difficult	for
129	make	the	case	that	the
129	many	of	the	people	in
129	many	of	us	in	the
129	me	as	much	as	i
129	me	at	the	end	of
129	more	accurate	to	say	that
129	more	and	more	of	a
129	my	father	used	to	say
128	made	up	my	mind	to
128	make	a	list	of	all
128	make	a	name	for	himself
128	may	cancel	at	any	time
128	me	a	while	to	get
128	me	if	i	am	wrong
128	me	what	i	want	to
128	much	to	the	dismay	of
128	must	be	approved	by	the
128	must	take	into	account	the
128	my	best	friend	in	the
127	make	sure	that	it	is
127	makes	no	guarantees	or	representations
127	making	it	more	difficult	to
127	may	be	a	result	of
127	me	if	you	do	n't
127	me	to	do	about	it
127	money	to	pay	for	it
127	more	in	common	with	the
127	more	likely	than	women	to
127	most	important	thing	to	me
126	make	it	out	of	here
126	make	sure	that	they	have
126	me	a	cup	of	coffee
126	middle	of	the	nineteenth	century
126	more	than	a	decade	later
126	more	than	two	years	of
126	most	important	thing	in	my
125	make	it	to	the	end
125	make	sense	of	the	world
125	make	sure	that	does	n't
125	make	sure	that	no	one
125	mark	shields	and	new	york
125	me	a	long	time	ago
125	me	out	of	the	way
125	me	to	come	with	you
125	middle	of	the	living	room
125	mind	if	i	sit	down
125	most	important	meal	of	the
125	much	more	to	do	with
124	made	a	concerted	effort	to
124	made	it	clear	that	it
124	made	no	mention	of	the
124	make	a	career	out	of
124	many	people	in	the	world
124	may	have	been	a	little
124	maybe	you	do	n't	want
124	my	best	friend	and	i
123	make	it	look	like	an
123	make	me	look	like	a
123	member	of	one	of	the
123	member	of	the	royal	family
123	might	want	to	check	out
123	miss	the	rest	of	the
123	more	people	are	going	to
123	must	agree	to	the	following
122	make	sure	she	does	n't
122	matter	how	long	it	takes
122	me	a	little	bit	more
122	more	of	a	sense	of
122	my	advice	to	you	is
121	make	it	easier	for	people
121	makes	his	way	to	the
121	may	even	be	able	to
121	me	tell	you	about	the
121	mean	to	tell	me	you
121	might	be	a	good	thing
121	more	likely	to	be	the
120	making	a	big	deal	out
120	marjory	stoneman	douglas	high	school
120	mean	that	you	have	to
120	means	you	do	n't	have
120	military	academy	at	west	point
120	much	time	on	their	hands
120	my	guess	is	that	they
119	make	a	list	of	the
119	makes	you	look	like	a
119	making	such	a	big	deal
119	mary	had	a	little	lamb
119	maybe	you	could	help	me
119	me	because	i	did	n't
119	me	if	you	need	me
119	me	put	it	to	you
119	more	likely	to	drop	out
119	more	than	a	dozen	people
118	make	a	deal	with	the
118	make	a	fool	out	of
118	make	the	same	mistake	twice
118	making	the	most	of	the
118	may	be	a	sign	of
118	me	that	there	is	a
118	me	to	give	you	this
118	means	to	be	an	american
118	members-only	content	and	a	suite
118	middle	of	the	night	in
118	much	for	the	phone	call
118	must	have	been	one	of
118	my	first	thought	was	that
117	made	me	who	i	am
117	make	it	easier	for	them
117	may	also	be	able	to
117	may	be	a	lot	of
117	me	that	one	of	the
117	million	by	the	end	of
117	most	of	my	adult	life
116	make	any	sense	to	you
116	make	their	way	into	the
116	makes	all	the	difference	in
116	me	a	call	when	you
116	members	of	congress	and	the
116	more	than	a	dozen	other
116	motivated	by	a	desire	to
116	move	on	with	your	life
116	moving	in	and	out	of
116	must	be	aware	of	the
116	my	side	of	the	story
115	made	you	change	your	mind
115	make	it	through	the	day
115	marked	the	beginning	of	a
115	may	find	it	difficult	to
115	me	be	the	first	to
115	me	one	good	reason	why
115	me	what	the	hell	is
115	mmwr	morb	mortal	wkly	rep
115	more	stories	from	the	showbiz
115	more	than	a	decade	and
115	most	people	do	n't	understand
115	much	for	sharing	your	story
115	my	mother	and	my	father
114	make	a	deal	with	you
114	make	a	difference	in	their
114	maybe	you	can	tell	me
114	mean	that	i	do	n't
114	mean	you	do	n't	have
114	members	of	an	elite	squad
114	more	than	a	week	after
114	most	of	these	people	are
114	most	of	us	are	not
114	museum	of	the	city	of
113	made	it	possible	for	the
113	made	no	secret	of	his
113	make	a	concerted	effort	to
113	marks	the	beginning	of	the
113	men	between	the	ages	of
113	more	so	than	any	other
113	more	than	a	month	after
113	more	than	a	week	ago
113	much	for	joining	us	tonight
112	make	the	mistake	of	thinking
112	make	you	look	like	a
112	may	have	been	exposed	to
112	me	just	ask	you	this
112	might	be	able	to	tell
112	more	than	half	a	dozen
112	more	than	two	decades	of
112	most	important	thing	to	remember
111	make	a	better	life	for
111	may	i	have	this	dance
111	may	prove	to	be	a
111	mental	health	and	substance	abuse
111	messages	and	your	local	news
111	move	in	the	direction	of
110	made	me	realize	that	i
110	make	the	best	of	a
110	make	you	feel	like	a
110	may	be	used	as	a
110	me	to	talk	to	you
110	means	different	things	to	different
110	meet	the	requirements	of	the
110	might	as	well	do	it
110	might	not	have	been	the
110	more	than	makes	up	for
110	most	of	them	have	been
110	much	in	common	with	the
109	make	it	one	of	the
109	marks	the	end	of	the
109	matter	of	time	before	we
109	may	play	an	important	role
109	maybe	it	would	be	better
109	meant	so	much	to	me
109	members	of	the	general	public
109	might	be	of	interest	to
109	millions	of	people	in	the
109	mind	if	i	call	you
109	more	than	a	decade	in
109	more	than	a	year	now
109	more	than	once	a	week
109	must	be	something	wrong	with
109	my	problem	is	that	i
108	made	a	lot	of	people
108	make	it	look	like	it
108	making	a	difference	in	the
108	may	as	well	have	been
108	may	have	been	in	the
108	months	and	months	and	months
108	move	on	with	my	life
108	much	of	the	credit	for
108	museum	of	natural	history	and
108	my	father	was	in	the
108	my	mother	told	me	that
107	made	their	way	into	the
107	make	a	conscious	effort	to
107	make	a	hell	of	a
107	may	be	attributed	to	the
107	may	be	the	case	that
107	may	earn	an	affiliate	commission
107	maybe	a	little	bit	of
107	me	and	i	did	n't
107	me	buy	you	a	drink
107	me	how	to	do	it
107	me	make	it	up	to
107	me	the	name	of	the
107	men	in	the	united	states
107	more	than	his	share	of
107	mr	smith	goes	to	washington
106	made	his	way	through	the
106	make	a	real	difference	in
106	make	sure	he	did	n't
106	me	that	he	did	n't
106	meals	are	paid	for	by
106	meeting	the	needs	of	the
106	might	want	to	look	at
106	more	important	than	ever	to
106	more	likely	than	others	to
106	more	than	a	dozen	times
106	more	than	the	rest	of
106	most	of	the	time	she
106	my	job	is	to	make
105	majority	of	the	people	in
105	make	every	attempt	to	remain
105	make	sure	that	all	of
105	matter	how	hard	i	tried
105	matter	of	life	or	death
105	may	be	seen	as	a
105	may	i	direct	your	call
105	me	and	told	me	that
105	mean	you	have	to	be
105	more	about	our	use	of
105	more	than	meets	the	eye
105	much	to	the	delight	of
104	made	their	way	through	the
104	make	a	lot	more	money
104	make	it	clear	that	you
104	make	the	best	of	the
104	make	up	for	the	loss
104	make	you	feel	any	better
104	may	be	a	way	to
104	may	have	had	something	to
104	me	you	do	n't	know
104	meeting	for	the	first	time
104	mention	of	products	or	services
104	more	and	more	of	our
104	more	than	a	few	people
104	more	than	three	years	ago
104	much	a	part	of	our
103	make	it	a	little	more
103	make	the	world	safe	for
103	making	a	lot	of	noise
103	man	at	the	center	of
103	may	not	be	familiar	with
103	may	not	sound	like	much
103	me	a	hand	with	this
103	me	that	it	was	a
103	me	to	do	what	i
103	means	more	to	me	than
103	more	complete	version	of	the
103	more	evident	than	in	the
103	more	or	less	likely	to
103	more	than	a	little	bit
103	more	than	one	of	the
103	most	important	person	in	the
103	much	do	you	want	to
102	made	it	clear	to	the
102	make	a	break	for	it
102	make	it	seem	as	if
102	makes	it	more	likely	that
102	massachusetts	institute	of	technology	and
102	matter	how	you	slice	it
102	may	be	explained	by	the
102	may	be	on	the	way
102	may	not	be	the	right
102	me	that	i	had	to
102	mean	square	error	of	approximation
102	meet	the	needs	of	their
102	might	have	been	in	the
102	might	not	be	such	a
102	might	or	might	not	have
102	more	than	a	dozen	of
102	more	than	double	the	number
102	more	time	with	his	family
102	most	of	them	in	the
102	mother	died	when	i	was
102	much	as	i	wanted	to
102	must	have	been	in	the
101	made	up	his	mind	to
101	make	sure	that	all	the
101	makes	it	a	lot	easier
101	many	of	these	people	are
101	many	people	do	n't	know
101	market	in	the	united	states
101	may	not	be	possible	to
101	may	take	the	form	of
101	maybe	you	do	n't	have
101	me	straight	in	the	eye
101	meaning	to	talk	to	you
101	member	of	the	church	of
101	men	and	women	on	the
101	more	than	their	fair	share
101	most	of	his	life	in
101	most	of	the	things	that
101	most	powerful	country	in	the
101	move	in	the	right	direction
101	my	family	and	i	have
100	make	a	big	deal	of
100	makes	it	very	difficult	to
100	may	want	to	subscribe	to
100	maybe	you	should	n't	be
100	millions	of	people	who	are
100	miss	it	for	the	world
100	more	information	on	how	to
100	more	to	it	than	just
100	most	important	thing	we	can
100	my	guess	is	that	he
99	marriage	between	a	man	and
99	may	well	be	that	the
99	me	in	the	back	of
99	me	to	get	rid	of
99	mean	i	do	n't	know
99	meet	the	demands	of	the
99	meet	the	needs	of	students
99	melt	butter	in	a	large
99	men	and	women	who	serve
99	middle	of	the	night	when
99	might	be	a	little	more
99	might	be	a	way	to
99	more	important	things	to	worry
99	more	than	a	decade	to
99	more	than	a	year	in
99	most	of	my	friends	are
99	most	of	them	are	not
99	must	have	a	lot	of
99	my	guess	is	that	you
98	make	sure	it	was	n't
98	martin	and	this	is	tell
98	may	not	be	representative	of
98	may	still	be	able	to
98	maybe	you	should	think	about
98	me	go	back	to	the
98	me	if	i	told	you
98	member	of	the	united	nations
98	money	is	the	root	of
98	money	to	take	care	of
98	morbidity	and	mortality	weekly	report
98	more	than	a	month	ago
98	more	urgent	than	ever	and
98	museum	of	fine	arts	in
98	must	have	been	a	very
97	may	be	as	many	as
97	may	enjoy	all	of	our
97	may	have	been	caused	by
97	may	i	speak	with	you
97	may	not	seem	like	a
97	me	that	it	would	be
97	me	to	tell	you	what
97	mean	i	do	n't	have
97	mean	the	end	of	the
97	michel	martin	and	this	is
97	money	in	the	stock	market
97	more	than	one	type	of
97	must	be	part	of	the
96	made	his	way	back	to
96	made	our	way	to	the
96	made	the	decision	not	to
96	make	it	sound	like	a
96	make	sure	that	we	can
96	make	sure	that	you	get
96	me	at	the	same	time
96	me	that	i	could	n't
96	me	that	there	was	a
96	meet	the	needs	of	all
96	might	have	had	something	to
96	million	barrels	of	oil	a
96	more	than	a	few	months
96	most	of	the	people	on
96	moved	to	new	york	and
96	moving	in	the	opposite	direction
95	make	a	run	for	the
95	make	it	very	difficult	for
95	makes	up	about	two-thirds	of
95	management	at	the	university	of
95	may	be	of	interest	to
95	mayor	of	the	city	of
95	me	get	a	break	and
95	me	i	do	n't	know
95	me	to	believe	that	you
95	might	as	well	be	the
95	might	have	been	one	of
95	more	and	more	like	the
95	more	on	this	story	right
95	more	than	four	times	the
95	more	than	the	cost	of
95	more	they	stay	the	same
95	most	of	the	united	states
95	much	of	the	blame	for
95	my	dad	used	to	say
95	my	guess	would	be	that
95	my	mother	died	when	i
94	made	his	way	down	the
94	made	it	all	the	more
94	majority	of	people	in	the
94	make	it	a	little	bit
94	makes	me	think	of	the
94	massachusetts	institute	of	technology	in
94	may	i	speak	to	you
94	may	not	be	such	a
94	me	ask	you	about	a
94	me	what	i	can	do
94	meet	for	the	first	time
94	member	of	the	new	york
94	mind	if	i	come	in
94	more	likely	it	is	to
94	more	of	your	phone	calls
94	more	than	any	other	country
94	more	than	their	share	of
94	most	of	us	have	been
94	much	for	talking	to	us
94	much	for	your	time	this
94	much	of	a	chance	to
94	my	family	and	i	are
93	made	it	as	far	as
93	make	of	the	fact	that
93	mark	the	end	of	the
93	may	be	the	only	one
93	may	come	as	a	shock
93	may	have	been	part	of
93	may	not	know	how	to
93	me	a	copy	of	the
93	me	ask	you	about	another
93	me	from	time	to	time
93	men	and	women	of	our
